LocalCurrencyAmount,ExchangeRate,Nights,Adults,Minors,FreeMinors,cluster,GraphDate,Profile
699.58,22.0362,1,1,0,0,0,2019-08,A
2240.23,21.31,2,2,0,0,1,2019-08,B
2350.5,19.1,3,1,0,0,0,2019-08,A
3436.5,16.0,2,1,0,0,0,2019-08,A
1304.59,21.31,1,2,0,0,1,2019-08,B
1130.5,19.85,1,2,0,2,2,2019-08,C
1130.82,1.0,1,2,0,0,1,2019-08,B
686.0,20.37,1,1,0,0,0,2019-08,A
1110.0,18.94,1,1,0,0,0,2019-08,A
824.82,19.45,1,1,0,0,0,2019-08,A
1116.0,21.48,1,1,0,0,0,2019-08,A
2090.0,18.91,2,1,0,0,0,2019-08,A
1113.6,19.0,1,1,0,0,0,2019-08,A
810.19,1.0,1,1,0,0,0,2019-08,A
740.0,1.0,1,2,0,0,1,2019-08,B
1056.72,18.87,1,1,0,0,0,2019-08,A
903.68,18.98,1,1,0,0,0,2019-08,A
1970.0,19.3,1,2,0,0,1,2019-08,B
630.0,20.43,1,2,0,0,1,2019-08,B
4510.8,21.8,6,2,0,2,2,2019-08,C
1644.0,19.53,2,1,0,0,0,2019-08,A
1282.92,1.0,1,2,0,0,1,2019-08,B
2322.59,19.5,2,2,2,0,2,2019-08,C
840.0,1.0,1,2,0,0,1,2019-08,B
960.32,1.0,1,2,2,0,2,2019-08,C
8257.53,18.9,7,2,0,0,1,2019-08,B
1317.0,19.3,1,2,0,0,1,2019-08,B
1086.23,18.0,1,2,0,0,1,2019-08,B
3887.2,19.8695,4,1,0,0,0,2019-08,A
714.0,22.38,1,2,0,0,1,2019-08,B
706.21,19.67,1,1,0,0,0,2019-08,A
6388.66,22.65,6,2,0,2,2,2019-08,C
1274.6,19.96,2,2,0,0,1,2019-08,B
1160.0,19.2109,1,1,0,0,0,2019-08,A
1856.48,20.0,1,3,0,0,1,2019-08,B
3374.28,1.0,2,2,0,1,2,2019-08,C
485.85,1.0,1,1,0,0,0,2019-08,A
853.82,19.86,1,2,0,0,1,2019-08,B
739.37,20.59,1,1,0,0,0,2019-08,A
6762.95,21.31,5,1,0,0,1,2019-08,B
3424.62,19.2109,2,2,0,0,1,2019-08,B
655.0,17.0,1,2,0,0,1,2019-08,B
3477.6,19.01,4,2,0,0,1,2019-08,B
1360.59,21.31,1,2,0,0,1,2019-08,B
5122.95,20.08,3,3,0,0,1,2019-08,B
668.39,19.0,1,2,0,0,1,2019-08,B
1080.82,19.19,1,2,0,0,1,2019-08,B
840.0,1.0,1,2,0,0,1,2019-08,B
4476.6,19.2109,2,2,0,0,1,2019-08,B
1052.84,16.0,1,2,0,0,1,2019-08,B
2266.2,19.86,3,2,0,0,1,2019-08,B
2682.86,19.8,2,2,0,0,1,2019-08,B
1850.0,20.05,1,1,0,0,0,2019-08,A
4164.9,19.2109,2,2,0,1,2,2019-08,C
1583.21,1.0,1,3,1,0,2,2019-08,C
6755.0,19.4,7,2,0,0,1,2019-08,B
1705.1,19.01,1,1,0,0,0,2019-08,A
1822.0,18.77,2,1,0,0,0,2019-08,A
3076.0,19.2109,2,2,0,0,1,2019-08,B
1239.0,19.09,1,2,0,0,1,2019-08,B
1336.0,19.0,1,2,1,0,2,2019-08,C
944.03,16.0,1,2,0,0,1,2019-08,B
860.1,19.5,1,1,0,0,0,2019-08,A
2961.68,19.2109,1,2,0,0,1,2019-08,B
1082.0,19.36,1,1,0,0,0,2019-08,A
5080.0,18.97,1,3,0,0,1,2019-08,B
1038.97,19.24,1,1,0,0,0,2019-08,A
2116.39,19.86,2,2,0,2,2,2019-08,C
1331.27,16.0,1,1,0,0,0,2019-08,A
2067.54,19.5,3,1,0,0,0,2019-08,A
280.0,1.0,1,1,0,0,0,2019-08,A
1200.0,20.04,1,2,0,0,1,2019-08,B
730.0,19.01,1,2,0,0,1,2019-08,B
793.56,19.2109,1,1,0,0,0,2019-08,A
1951.53,16.0,1,2,2,0,2,2019-08,C
780.64,22.76,1,2,0,0,1,2019-08,B
1028.0,19.04,1,1,0,0,0,2019-08,A
950.0,22.87,1,1,0,0,0,2019-08,A
3524.54,21.31,1,1,0,0,1,2019-08,B
850.0,1.0,1,2,0,0,1,2019-08,B
1766.78,19.8695,2,2,0,0,1,2019-08,B
13888.0,19.24,0,1,0,0,2,2019-08,C
5580.76,1.0,4,2,0,0,1,2019-08,B
2820.3,1.0,2,2,0,0,1,2019-08,B
3616.1,19.61,5,2,0,0,1,2019-08,B
1092.56,20.79,1,2,0,0,1,2019-08,B
3608.34,21.31,1,2,0,0,1,2019-08,B
2006.4,16.5,2,1,0,0,0,2019-08,A
883.39,18.9082,1,2,0,0,1,2019-08,B
3200.0,19.33,4,1,0,0,0,2019-08,A
1983.56,19.57,2,2,0,1,2,2019-08,C
476.0,18.0,1,4,0,0,1,2019-08,B
1124.55,19.7522,1,2,0,1,2,2019-08,C
4564.9,19.2109,2,2,0,0,1,2019-08,B
1349.76,20.02,2,2,0,1,2,2019-08,C
